Papers' ID,Sample_ID_IN_VCF,Accession ID,Species,Subpopulation,Subpopulation,Country,data source 
IRIS_313-10509,IRIS_313-10509,ERS469384,O. sativa,Indica,Indica,Africa,IRRI
CX377,CX377,ERS470663,O. sativa,Indica,Indica,Africa,IRMBN
CX376,CX376,ERS470662,O. sativa,Indica,Indica,Africa,IRMBN
CX375,CX375,ERS470661,O. sativa,Indica,Indica,Africa,IRMBN
IRIS_313-9778,IRIS_313-9778,ERS468115,O. sativa,Indica,Indica,Argentina,IRRI
IRIS_313-8128,IRIS_313-8128,ERS468665,O. sativa,Indica,Indica,Argentina,IRRI
IRIS_313-8063,IRIS_313-8063,ERS468624,O. sativa,Indica,Indica,Argentina,IRRI
IRIS_313-9795,IRIS_313-9795,ERS468117,O. sativa,Indica,Indica,Australia,IRRI
B181,B181,ERS470386,O. sativa,Indica,Indica,Australia,MC
B021,B021,ERS470239,O. sativa,Indica,Indica,Australia,MC
W314,SRR1240117,SRR1240117,O. sativa,IndII,Indica,Bangladesh,533
W310,SRR1240113,SRR1240113,O. sativa,IndII,Indica,Bangladesh,533
W147,SRR1239950,SRR1239950,O. sativa,Ind_Int,Indica,Bangladesh,533
IRIS_313-9696,IRIS_313-9696,ERS467880,O. sativa,Indica,Indica,Bangladesh,IRRI
IRIS_313-9617,IRIS_313-9617,ERS468099,O. sativa,Indica,Indica,Bangladesh,IRRI
IRIS_313-9606,IRIS_313-9606,ERS467871,O. sativa,Indica,Indica,Bangladesh,IRRI
IRIS_313-9594,IRIS_313-9594,ERS468092,O. sativa,Indica,Indica,Bangladesh,IRRI
IRIS_313-9397,IRIS_313-9397,ERS468287,O. sativa,Indica,Indica,Bangladesh,IRRI
IRIS_313-9391,IRIS_313-9391,ERS468065,O. sativa,Indica,Indica,Bangladesh,IRRI
IRIS_313-9325,IRIS_313-9325,ERS468059,O. sativa,Indica,Indica,Bangladesh,IRRI
IRIS_313-9271,IRIS_313-9271,ERS468049,O. sativa,Indica,Indica,Bangladesh,IRRI
IRIS_313-9262,IRIS_313-9262,ERS468048,O. sativa,Indica,Indica,Bangladesh,IRRI
IRIS_313-9218,IRIS_313-9218,ERS468041,O. sativa,Indica,Indica,Bangladesh,IRRI
IRIS_313-9174,IRIS_313-9174,ERS468031,O. sativa,Indica,Indica,Bangladesh,IRRI
IRIS_313-9156,IRIS_313-9156,ERS468219,O. sativa,Indica,Indica,Bangladesh,IRRI
IRIS_313-9148,IRIS_313-9148,ERS468030,O. sativa,Indica,Indica,Bangladesh,IRRI
IRIS_313-9139,IRIS_313-9139,ERS468029,O. sativa,Indica,Indica,Bangladesh,IRRI
IRIS_313-9072,IRIS_313-9072,ERS468020,O. sativa,Indica,Indica,Bangladesh,IRRI
IRIS_313-9067,IRIS_313-9067,ERS468018,O. sativa,Indica,Indica,Bangladesh,IRRI
IRIS_313-9066,IRIS_313-9066,ERS468017,O. sativa,Indica,Indica,Bangladesh,IRRI
IRIS_313-9049,IRIS_313-9049,ERS468274,O. sativa,Indica,Indica,Bangladesh,IRRI
IRIS_313-8932,IRIS_313-8932,ERS467994,O. sativa,Indica,Indica,Bangladesh,IRRI
IRIS_313-8930,IRIS_313-8930,ERS467993,O. sativa,Indica,Indica,Bangladesh,IRRI
IRIS_313-8864,IRIS_313-8864,ERS467823,O. sativa,Indica,Indica,Bangladesh,IRRI
IRIS_313-8854,IRIS_313-8854,ERS467981,O. sativa,Indica,Indica,Bangladesh,IRRI
IRIS_313-8850,IRIS_313-8850,ERS467980,O. sativa,Indica,Indica,Bangladesh,IRRI
IRIS_313-8822,IRIS_313-8822,ERS467977,O. sativa,Indica,Indica,Bangladesh,IRRI
IRIS_313-8737,IRIS_313-8737,ERS467970,O. sativa,Indica,Indica,Bangladesh,IRRI
IRIS_313-8733,IRIS_313-8733,ERS468261,O. sativa,Indica,Indica,Bangladesh,IRRI
IRIS_313-8717,IRIS_313-8717,ERS467967,O. sativa,Indica,Indica,Bangladesh,IRRI
IRIS_313-8703,IRIS_313-8703,ERS468256,O. sativa,Indica,Indica,Bangladesh,IRRI
IRIS_313-8683,IRIS_313-8683,ERS468254,O. sativa,Indica,Indica,Bangladesh,IRRI
IRIS_313-8632,IRIS_313-8632,ERS467959,O. sativa,Indica,Indica,Bangladesh,IRRI
